Time,Gaze_Target_X,Gaze_Target_Y
16.831346,-999.000000,-999.000000
16.853716,-999.000000,-999.000000
16.874504,-999.000000,-999.000000
16.891514,-999.000000,-999.000000
16.903912,-999.000000,-999.000000
16.935467,-999.000000,-999.000000
16.953820,-999.000000,-999.000000
16.973799,-999.000000,-999.000000
16.984527,-999.000000,-999.000000
17.011892,-999.000000,-999.000000
17.026142,-999.000000,-999.000000
17.053788,-999.000000,-999.000000
17.071701,-999.000000,-999.000000
17.084374,-999.000000,-999.000000
17.114637,-999.000000,-999.000000
17.126784,-999.000000,-999.000000
17.151592,-999.000000,-999.000000
17.165576,-999.000000,-999.000000
17.191470,-999.000000,-999.000000
17.206998,-999.000000,-999.000000
17.226478,-999.000000,-999.000000
17.246394,-999.000000,-999.000000
17.264726,-999.000000,-999.000000
17.285016,-999.000000,-999.000000
17.311460,-999.000000,-999.000000
17.326760,-999.000000,-999.000000
17.355805,-999.000000,-999.000000
17.372628,-999.000000,-999.000000
17.385953,-999.000000,-999.000000
17.406424,-999.000000,-999.000000
17.433910,-999.000000,-999.000000
17.444359,-999.000000,-999.000000
17.472248,-999.000000,-999.000000
17.483716,-999.000000,-999.000000
17.512547,-999.000000,-999.000000
17.531254,-999.000000,-999.000000
17.554296,-999.000000,-999.000000
17.574069,-999.000000,-999.000000
17.592125,-999.000000,-999.000000
17.606541,-999.000000,-999.000000
17.634118,-999.000000,-999.000000
17.653708,-999.000000,-999.000000
17.674939,-999.000000,-999.000000
17.693246,-999.000000,-999.000000
17.714931,-999.000000,-999.000000
17.725151,-999.000000,-999.000000
17.751612,-999.000000,-999.000000
17.765434,-999.000000,-999.000000
17.795830,-999.000000,-999.000000
17.804720,-999.000000,-999.000000
17.831603,-999.000000,-999.000000
17.844224,-999.000000,-999.000000
17.874170,-999.000000,-999.000000
17.892490,-999.000000,-999.000000
17.914541,-999.000000,-999.000000
17.923137,-999.000000,-999.000000
17.956271,-999.000000,-999.000000
17.964680,-999.000000,-999.000000
17.984595,-999.000000,-999.000000
18.004017,-999.000000,-999.000000
18.026672,-999.000000,-999.000000
18.044961,-999.000000,-999.000000
18.072582,-999.000000,-999.000000
18.085492,-999.000000,-999.000000
18.105042,-999.000000,-999.000000
18.123398,-999.000000,-999.000000
18.144503,-999.000000,-999.000000
18.171466,-999.000000,-999.000000
18.185013,-999.000000,-999.000000
18.206106,-999.000000,-999.000000
18.231468,-999.000000,-999.000000
18.245845,-999.000000,-999.000000
18.271687,-999.000000,-999.000000
18.285274,-999.000000,-999.000000
18.315322,-999.000000,-999.000000
18.333981,-999.000000,-999.000000
18.343995,-999.000000,-999.000000
18.365481,-999.000000,-999.000000
18.384395,-999.000000,-999.000000
18.414793,-999.000000,-999.000000
18.424666,-999.000000,-999.000000
18.444032,-999.000000,-999.000000
18.463417,-999.000000,-999.000000
18.484413,-999.000000,-999.000000
18.512839,-999.000000,-999.000000
18.534483,-999.000000,-999.000000
18.555163,-999.000000,-999.000000
18.565683,-999.000000,-999.000000
18.596072,-999.000000,-999.000000
18.605477,-999.000000,-999.000000
18.624999,-999.000000,-999.000000
18.644923,-999.000000,-999.000000
18.663227,-999.000000,-999.000000
