event_type,fields
SFIX,R 100995042
EFIX,R 100995042 100995614 573 676.4 272.7 2782
SSACC,R 100995615
ESACC,R 100995615 100995624 10 676.8 274.2 663.0 250.6 0.47 52
SFIX,R 100995625
EFIX,R 100995625 100995753 129 657.0 248.3 2706
SSACC,R 100995754
ESACC,R 100995754 100995792 39 656.1 245.3 430.4 -5.4 5.70 217
SFIX,R 100995793
EFIX,R 100995793 100996393 601 401.2 -30.3 1986
SSACC,R 100996394
ESACC,R 100996394 100996421 28 399.7 -23.3 591.5 -15.0 3.20 195
SFIX,R 100996422
EFIX,R 100996422 100997260 839 607.3 -16.8 1856
SSACC,R 100997261
SBLINK,R 100997277
EBLINK,R 100997277 100997450 174
ESACC,R 100997261 100997493 233 610.3 -15.0 765.3 256.4 5.32 203
SFIX,R 100997494
EFIX,R 100997494 100997757 264 775.5 199.4 1988
SSACC,R 100997758
ESACC,R 100997758 100997767 10 777.8 203.3 803.9 209.0 0.45 51
SFIX,R 100997768
EFIX,R 100997768 100998153 386 810.2 208.7 2325
SSACC,R 100998154
ESACC,R 100998154 100998167 14 813.3 202.3 848.9 208.4 0.61 57
SFIX,R 100998168
EFIX,R 100998168 100998490 323 877.1 199.6 2617
SSACC,R 100998491
ESACC,R 100998491 100998504 14 876.4 206.5 828.4 198.6 0.83 74
SFIX,R 100998505
EFIX,R 100998505 100999088 584 821.1 200.6 2593
SSACC,R 100999089
ESACC,R 100999089 100999164 76 816.5 202.7 391.8 -31.7 8.16 168
SFIX,R 100999165
EFIX,R 100999165 100999929 765 307.3 -63.1 1997
SSACC,R 100999930
ESACC,R 100999930 100999949 20 306.7 -63.9 401.6 -37.8 1.62 132
SFIX,R 100999950
EFIX,R 100999950 101000487 538 401.9 -28.4 1869
SSACC,R 101000488
ESACC,R 101000488 101000515 28 398.1 -26.8 600.0 3.4 3.41 214
SFIX,R 101000516
EFIX,R 101000516 101001834 1319 608.5 9.2 1947
SSACC,R 101001835
SBLINK,R 101001850
EBLINK,R 101001850 101002060 211
ESACC,R 101001835 101002077 243 614.2 15.6 765.6 246.3 4.70 174
SFIX,R 101002078
EFIX,R 101002078 101002598 521 772.1 198.1 2005
SSACC,R 101002599
ESACC,R 101002599 101002610 12 774.6 193.5 806.2 176.2 0.61 62
SFIX,R 101002611
EFIX,R 101002611 101003343 733 808.6 174.2 2400
SSACC,R 101003344
ESACC,R 101003344 101003386 43 807.8 176.0 876.7 -41.8 3.91 121
SFIX,R 101003387
EFIX,R 101003387 101003906 520 878.7 -75.3 2071
SSACC,R 101003907
ESACC,R 101003907 101003947 41 878.5 -72.2 655.4 1.5 3.98 125
SFIX,R 101003948
EFIX,R 101003948 101004109 162 574.7 22.9 2433
SSACC,R 101004110
ESACC,R 101004110 101004132 23 569.4 25.4 446.2 -33.4 2.29 176
SFIX,R 101004133
EFIX,R 101004133 101005074 942 406.4 -29.7 1778
SSACC,R 101005075
ESACC,R 101005075 101005098 24 396.4 -30.6 535.8 -25.5 2.32 173
SFIX,R 101005099
EFIX,R 101005099 101006627 1529 540.5 -23.4 1939
SSACC,R 101006628
ESACC,R 101006628 101006688 61 540.9 -18.6 361.6 220.9 5.03 102
SFIX,R 101006689
EFIX,R 101006689 101006973 285 298.2 330.4 2079
SSACC,R 101006974
ESACC,R 101006974 101006994 21 296.7 334.8 357.5 304.0 1.13 69
SFIX,R 101006995
EFIX,R 101006995 101007325 331 380.6 285.6 2295
SSACC,R 101007326
ESACC,R 101007326 101007352 27 384.8 277.8 557.2 258.9 2.89 153
SFIX,R 101007353
